201	https://job-boards.greenhouse.io/airtable/jobs/8382158002	Airtable	Program Manager, AI Programs
202	https://job-boards.greenhouse.io/airtable/jobs/8461582002	Airtable	Senior Partner Solutions Architect
203	https://job-boards.greenhouse.io/airtable/jobs/8487502002	Airtable	Senior Solutions Architect
204	https://job-boards.greenhouse.io/nttdatausa/jobs/8506762002	NTT DATA (Americas)	IT Solutions Architects
205	https://jobs.ashbyhq.com/nerdwallet/0bb0c344-547c-4eee-81dd-ad6af5314732	NerdWallet	Director, Product Management (Data)
206	https://jobs.ashbyhq.com/deel/1d6939eb-93c8-49b4-821c-4b92b6941ab6	Deel	Associate Strategic Corporate Development Director
207	https://jobs.ashbyhq.com/deel/c5c0329f-040e-400e-908f-b7c3c20fd84f	Deel	Associate Director, Sales Operations
208	https://jobs.ashbyhq.com/deel/7b91a358-7393-4cfa-b594-c5d2aa4c2a53	Deel	People M&A Director
209	https://www.dice.com/job-detail/b5ae47d3-5fd3-438a-a49b-c521b66d6622?utm_source=claude-user&utm_medium=mcp	EPAM Systems	AWS Partnership CTO
210	https://www.dice.com/job-detail/e1b5649d-713a-4432-9259-4c6882920c81?utm_source=claude-user&utm_medium=mcp	Algo Soft Solutions LLC	FULL TIME: CTO/Infrastructure/AWS/Banking - Hybrid/NYC - Peoples Bank
211	https://www.dice.com/job-detail/616d3861-c98e-4346-920b-1f111dc69248?utm_source=claude-user&utm_medium=mcp	State Street Corporation	CRD CTO, EVP
212	https://job-boards.greenhouse.io/postman/jobs/7389443003	Postman	Field CTO
213	https://boards.greenhouse.io/incubator/jobs/5427429	Quekto AI (AI2 Incubator)	Co-founder & Chief Technology Officer
214	https://jobs.lever.co/jobgether/cd97294f-48d1-40bb-abae-f3d9dbd604e2	Jobgether	Chief Technology Officer (K-12 SaaS)
